Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
B1,2023-07-28,19:45,St. Gilloise,Anderlecht,2,0,H,1.0,0.0,H,10.0,5.0,3.0,2.0,16.0,13.0,3.0,3.0,5.0,3.0,0.0,0.0
B1,2023-07-29,15:00,Eupen,Westerlo,2,2,D,1.0,0.0,H,13.0,22.0,6.0,5.0,14.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0
B1,2023-07-29,17:15,Charleroi,Oud-Heverlee Leuven,1,1,D,1.0,0.0,H,4.0,19.0,2.0,5.0,7.0,12.0,2.0,6.0,3.0,1.0,1.0,0.0
B1,2023-07-29,19:45,RWD Molenbeek,Genk,0,4,A,0.0,3.0,A,10.0,28.0,4.0,10.0,11.0,11.0,2.0,6.0,1.0,0.0,0.0,0.0
B1,2023-07-30,18:15,St Truiden,Standard,1,0,H,0.0,0.0,D,11.0,7.0,3.0,3.0,13.0,11.0,3.0,2.0,1.0,1.0,0.0,0.0
B1,2023-07-30,12:30,Antwerp,Cercle Brugge,1,0,H,1.0,0.0,H,15.0,8.0,4.0,1.0,15.0,13.0,7.0,7.0,0.0,2.0,0.0,0.0
B1,2023-07-30,15:00,Gent,Kortrijk,3,2,H,2.0,1.0,H,17.0,10.0,4.0,3.0,5.0,9.0,7.0,5.0,1.0,4.0,0.0,0.0
B1,2023-07-30,17:30,Club Brugge,Mechelen,1,1,D,0.0,1.0,A,21.0,9.0,5.0,2.0,8.0,9.0,4.0,3.0,2.0,2.0,1.0,0.0
B1,2023-08-04,19:45,Standard,St. Gilloise,0,1,A,0.0,1.0,A,8.0,24.0,3.0,8.0,9.0,12.0,2.0,13.0,4.0,1.0,1.0,0.0
B1,2023-08-05,19:45,Oud-Heverlee Leuven,RWD Molenbeek,1,2,A,1.0,1.0,D,18.0,15.0,5.0,4.0,14.0,18.0,15.0,6.0,4.0,1.0,0.0,0.0
B1,2023-08-05,17:15,Cercle Brugge,Charleroi,2,0,H,2.0,0.0,H,19.0,8.0,3.0,3.0,11.0,13.0,4.0,5.0,0.0,3.0,0.0,0.0
B1,2023-08-05,15:00,Genk,Eupen,0,1,A,0.0,1.0,A,28.0,5.0,3.0,2.0,11.0,11.0,7.0,2.0,1.0,2.0,0.0,0.0
