Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-13,Borussia Monchengladbach,Bayern Munich,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,VfL Wolfsburg,Vfl Bochum,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,FC Augsburg,1899 Hoffenheim,0,4,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,VfB Stuttgart,SpVgg Greuther Furth,5,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Union Berlin,Bayer Leverkusen,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Arminia Bielefeld,SC Freiburg,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Borussia Dortmund,Eintracht Frankfurt,5,2,H,3,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,FSV Mainz 05,RB Leipzig,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,1.FC Köln,Hertha Berlin,3,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,RB Leipzig,VfB Stuttgart,4,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Bayer Leverkusen,Borussia Monchengladbach,4,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,SpVgg Greuther Furth,Arminia Bielefeld,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Vfl Bochum,FSV Mainz 05,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Hertha Berlin,VfL Wolfsburg,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,SC Freiburg,Borussia Dortmund,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Eintracht Frankfurt,FC Augsburg,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,1899 Hoffenheim,Union Berlin,2,2,D,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Bayern Munich,1.FC Köln,3,2,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
