Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-06,Bournemouth,West Brom,2,2,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Sheffield Utd,Birmingham,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Stoke City,Reading,3,2,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,QPR,Millwall,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Derby,Huddersfield,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Luton,Peterborough,3,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Preston,Hull City,1,4,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Bristol City,Blackpool,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Cardiff,Barnsley,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Blackburn,Swansea,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Fulham,Middlesbrough,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Coventry,Nottingham Forest,2,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Nottingham Forest,Bournemouth,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Swansea,Sheffield Utd,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Blackpool,Cardiff,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Barnsley,Coventry,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Middlesbrough,Bristol City,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Hull City,QPR,0,3,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Millwall,Blackburn,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Birmingham,Stoke City,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Reading,Preston,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Huddersfield,Fulham,1,5,A,1,3,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Peterborough,Derby,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,West Brom,Luton,3,2,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,Huddersfield,Preston,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,Millwall,Fulham,1,2,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,Swansea,Stoke City,1,3,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,Barnsley,Luton,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,Peterborough,Cardiff,2,2,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,Blackpool,Coventry,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,Reading,Bristol City,2,3,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,West Brom,Sheffield Utd,4,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,Middlesbrough,QPR,2,3,A,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,Hull City,Derby,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,Birmingham,Bournemouth,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,Nottingham Forest,Blackburn,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,Bristol City,Swansea,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Luton,Birmingham,0,5,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Coventry,Reading,2,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Stoke City,Nottingham Forest,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Derby,Middlesbrough,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Sheffield Utd,Huddersfield,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Blackburn,West Brom,1,2,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Cardiff,Millwall,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Fulham,Hull City,2,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Bournemouth,Blackpool,2,2,D,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,QPR,Barnsley,2,2,D,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Preston,Peterborough,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Middlesbrough,Blackburn,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Peterborough,West Brom,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Luton,Sheffield Utd,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Barnsley,Birmingham,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,QPR,Coventry,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Hull City,Bournemouth,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Derby,Nottingham Forest,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Millwall,Blackpool,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Huddersfield,Reading,4,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Fulham,Stoke City,3,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Cardiff,Bristol City,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Preston,Swansea,3,1,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,Birmingham,Derby,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Coventry,Middlesbrough,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Stoke City,Huddersfield,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Blackpool,Fulham,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Blackburn,Luton,2,2,D,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Swansea,Hull City,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,West Brom,Millwall,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Bristol City,Preston,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Sheffield Utd,Peterborough,6,2,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Reading,QPR,3,3,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Bournemouth,Barnsley,3,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,Nottingham Forest,Cardiff,1,2,A,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,Reading,Peterborough,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,Blackpool,Huddersfield,0,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,West Brom,Derby,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,Sheffield Utd,Preston,2,2,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,Bournemouth,QPR,2,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,Blackburn,Hull City,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,Birmingham,Fulham,1,4,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,Bristol City,Luton,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,Nottingham Forest,Middlesbrough,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,Stoke City,Barnsley,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,Swansea,Millwall,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,Coventry,Cardiff,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Middlesbrough,Blackpool,1,2,A,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Luton,Swansea,3,3,D,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Peterborough,Birmingham,3,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Barnsley,Blackburn,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,QPR,Bristol City,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Derby,Stoke City,2,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Hull City,Sheffield Utd,1,3,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Millwall,Coventry,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Cardiff,Bournemouth,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Huddersfield,Nottingham Forest,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Fulham,Reading,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Preston,West Brom,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-24,Coventry,Peterborough,3,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-24,West Brom,QPR,2,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Blackpool,Barnsley,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Swansea,Huddersfield,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Stoke City,Hull City,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Blackburn,Cardiff,5,1,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Nottingham Forest,Millwall,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Bristol City,Fulham,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Birmingham,Preston,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Bournemouth,Luton,2,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Reading,Middlesbrough,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Sheffield Utd,Derby,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-28,Huddersfield,Blackburn,3,2,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-28,Cardiff,West Brom,0,4,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-28,Preston,Stoke City,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-28,Hull City,Blackpool,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-28,Middlesbrough,Sheffield Utd,2,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-28,QPR,Birmingham,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-29,Fulham,Swansea,3,1,H,3,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-29,Millwall,Bristol City,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-29,Derby,Reading,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-29,Barnsley,Nottingham Forest,1,3,A,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-29,Peterborough,Bournemouth,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-29,Luton,Coventry,5,0,H,4,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,Stoke City,West Brom,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Coventry,Fulham,4,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Bournemouth,Sheffield Utd,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Cardiff,Reading,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Birmingham,Nottingham Forest,0,3,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Hull City,Middlesbrough,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Derby,Swansea,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,QPR,Preston,3,2,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Barnsley,Millwall,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Peterborough,Bristol City,2,3,A,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Blackpool,Blackburn,2,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Luton,Huddersfield,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-15,West Brom,Birmingham,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Middlesbrough,Peterborough,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Blackburn,Coventry,2,2,D,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Nottingham Forest,Blackpool,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Preston,Derby,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Sheffield Utd,Stoke City,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Bristol City,Bournemouth,0,2,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Fulham,QPR,4,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Huddersfield,Hull City,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,Millwall,Luton,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
