Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E1,2023-08-04,20:00,Sheffield Weds,Southampton,1,2,A,0,1,A,8,23,1,7,12,10,3,6,4,4,0,0
E1,2023-08-05,15:00,Bristol City,Preston,1,1,D,0,0,D,5,11,2,3,10,11,2,4,0,1,0,0
E1,2023-08-05,15:00,Middlesbrough,Millwall,0,1,A,0,0,D,16,12,2,2,3,8,12,6,1,3,0,0
E1,2023-08-05,15:00,Norwich,Hull,2,1,H,1,1,D,28,8,5,3,14,12,9,4,2,5,0,0
E1,2023-08-05,15:00,Plymouth,Huddersfield,3,1,H,1,1,D,14,15,7,3,9,15,2,9,1,0,0,0
E1,2023-08-05,15:00,Stoke,Rotherham,4,1,H,3,0,H,15,6,6,3,12,10,10,2,5,3,0,1
E1,2023-08-05,15:00,Swansea,Birmingham,1,1,D,0,1,A,11,11,6,5,9,12,5,5,1,4,0,0
E1,2023-08-05,15:00,Watford,QPR,4,0,H,4,0,H,23,4,12,1,8,15,8,2,1,2,0,0
E1,2023-08-05,15:00,Blackburn,West Brom,2,1,H,2,0,H,12,14,3,4,11,11,6,5,4,3,0,0
E1,2023-08-06,17:00,Sunderland,Ipswich,1,2,A,0,1,A,20,13,4,5,10,13,11,4,1,3,1,0
E1,2023-08-06,12:00,Leicester,Coventry,2,1,H,0,0,D,20,20,7,6,11,13,6,8,3,2,0,0
E1,2023-08-06,14:30,Leeds,Cardiff,2,2,D,0,2,A,25,7,6,2,8,10,10,0,2,1,0,0
E1,2023-08-12,15:00,Southampton,Norwich,4,4,D,2,3,A,31,15,11,6,12,13,13,4,7,4,0,0
E1,2023-08-12,12:30,Coventry,Middlesbrough,3,0,H,1,0,H,12,14,5,2,5,8,7,7,1,1,0,0
E1,2023-08-12,15:00,West Brom,Swansea,3,2,H,1,0,H,11,13,3,4,10,10,4,8,3,4,0,0
E1,2023-08-12,15:00,Watford,Plymouth,0,0,D,0,0,D,20,13,3,5,16,10,12,3,0,2,0,0
E1,2023-08-12,15:00,Rotherham,Blackburn,2,2,D,1,0,H,9,21,3,6,9,8,5,9,3,1,1,0
E1,2023-08-12,15:00,Hull,Sheffield Weds,4,2,H,1,1,D,16,6,7,2,7,22,9,1,1,3,0,0
