Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-06,Monaco,Nantes,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Lyon,Stade Brestois 29,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Estac Troyes,Paris Saint Germain,1,2,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Rennes,Lens,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Bordeaux,Clermont Foot,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Nice,Reims,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Strasbourg,Angers,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Saint Etienne,Lorient,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Metz,Lille,3,3,D,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Montpellier,Marseille,2,3,A,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,Lorient,Monaco,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Lille,Nice,0,4,A,0,3,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Paris Saint Germain,Strasbourg,4,2,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Angers,Lyon,3,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Nantes,Metz,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Reims,Montpellier,3,3,D,2,3,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Clermont Foot,Estac Troyes,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Stade Brestois 29,Rennes,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Lens,Saint Etienne,2,2,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Marseille,Bordeaux,2,2,D,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,Stade Brestois 29,Paris Saint Germain,2,4,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Saint Etienne,Lille,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Monaco,Lens,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Lyon,Clermont Foot,3,3,D,3,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Bordeaux,Angers,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Montpellier,Lorient,3,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Strasbourg,Estac Troyes,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Metz,Reims,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Rennes,Nantes,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,Nantes,Lyon,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Marseille,Saint Etienne,3,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Nice,Bordeaux,4,0,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
