Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
F1,2022-01-07,20:00,Bordeaux,Marseille,0,1,A,0,1,A,6,18,2,6,13,7,3,9,1,1,0,0,1.56,2.42
F1,2022-01-08,20:00,Lens,Rennes,1,0,H,0,0,D,11,5,4,0,5,6,12,1,1,1,0,0,1.86,1.95
F1,2022-01-09,12:00,Brest,Nice,0,3,A,0,1,A,26,9,10,4,5,11,14,3,0,3,0,1,1.9,1.92
F1,2022-01-09,14:00,Clermont,Reims,0,0,D,0,0,D,12,7,7,2,13,24,6,2,1,3,1,0,2.46,1.55
F1,2022-01-09,14:00,Metz,Strasbourg,0,2,A,0,0,D,7,19,1,7,11,6,4,3,1,1,0,0,1.95,1.87
F1,2022-01-09,16:05,Nantes,Monaco,0,0,D,0,0,D,8,9,4,1,17,12,5,2,1,2,0,0,2.12,1.73
F1,2022-01-09,19:45,Lyon,Paris SG,1,1,D,1,0,H,11,15,4,3,18,13,2,7,2,2,0,0,1.48,2.64
F1,2022-01-14,20:00,Nice,Nantes,2,1,H,1,1,D,13,11,5,3,8,17,3,5,2,1,0,0,2.07,1.77
F1,2022-01-15,16:00,St Etienne,Lens,1,2,A,1,0,H,13,14,4,4,9,13,6,6,1,1,0,0,1.9,1.92
F1,2022-01-15,20:00,Paris SG,Brest,2,0,H,1,0,H,20,6,9,3,10,8,9,6,5,3,0,0,1.37,3.07
F1,2022-01-16,14:00,Lorient,Angers,0,0,D,0,0,D,14,5,4,0,12,9,6,1,3,1,0,1,2.13,1.72
F1,2022-01-16,19:45,Marseille,Lille,1,1,D,0,1,A,22,5,7,4,11,11,15,2,1,5,0,1,2.01,1.81
F1,2022-01-16,16:05,Troyes,Lyon,0,1,A,0,1,A,6,19,2,8,9,12,4,7,2,1,0,0,1.78,2.05
F1,2022-01-16,14:00,Strasbourg,Montpellier,3,1,H,0,1,A,19,9,8,5,18,9,7,3,2,2,0,1,1.81,2.01
F1,2022-01-16,12:00,Rennes,Bordeaux,6,0,H,2,0,H,19,5,11,1,9,9,9,1,1,5,0,1,1.54,2.45
F1,2022-01-16,14:00,Monaco,Clermont,4,0,H,1,0,H,20,6,10,1,9,10,6,1,0,1,0,0,1.73,2.11
F1,2022-01-16,14:00,Reims,Metz,0,1,A,0,0,D,14,17,2,5,14,16,11,4,4,4,0,0,2.27,1.63
F1,2022-01-19,18:00,Clermont,Strasbourg,0,2,A,0,1,A,7,15,1,5,8,11,6,4,2,0,0,0,1.93,1.87
F1,2022-01-19,18:00,Lille,Lorient,3,1,H,3,0,H,13,18,5,5,8,11,4,2,0,0,0,0,1.83,1.98
F1,2022-01-19,18:00,Montpellier,Troyes,0,1,A,0,0,D,11,13,2,5,12,10,5,4,5,1,1,0,1.81,2.02
