Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-13,GO Ahead Eagles,Heerenveen,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Waalwijk,AZ Alkmaar,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Heracles,PSV Eindhoven,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Fortuna Sittard,Twente,2,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Ajax,NEC Nijmegen,5,0,H,5,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Cambuur,Groningen,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,PEC Zwolle,Vitesse,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Utrecht,Sparta Rotterdam,4,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Willem II,Feyenoord,0,4,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,NEC Nijmegen,PEC Zwolle,2,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Heerenveen,Waalwijk,3,2,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,PSV Eindhoven,Cambuur,4,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Sparta Rotterdam,Heracles,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Groningen,Utrecht,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Twente,Ajax,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Feyenoord,GO Ahead Eagles,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Vitesse,Willem II,0,3,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,Fortuna Sittard,Waalwijk,2,2,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Willem II,PEC Zwolle,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,GO Ahead Eagles,Sparta Rotterdam,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Cambuur,Twente,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,PSV Eindhoven,Groningen,5,2,H,3,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,Utrecht,Feyenoord,3,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,Ajax,Vitesse,5,0,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,Heracles,NEC Nijmegen,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,Heerenveen,AZ Alkmaar,1,3,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,AZ Alkmaar,PSV Eindhoven,0,3,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Twente,Utrecht,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,PEC Zwolle,Ajax,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Cambuur,GO Ahead Eagles,5,2,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,Waalwijk,Vitesse,1,2,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,Sparta Rotterdam,Fortuna Sittard,3,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,NEC Nijmegen,Willem II,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,Groningen,Heerenveen,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,Sparta Rotterdam,NEC Nijmegen,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Ajax,Cambuur,9,0,H,4,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Heerenveen,Fortuna Sittard,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Willem II,Groningen,2,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Utrecht,Waalwijk,2,2,D,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,Heracles,AZ Alkmaar,3,2,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,Vitesse,Twente,1,4,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,GO Ahead Eagles,PEC Zwolle,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,PSV Eindhoven,Feyenoord,0,4,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-21,Fortuna Sittard,Ajax,0,5,A,0,3,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-21,Waalwijk,Willem II,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-22,GO Ahead Eagles,PSV Eindhoven,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-22,NEC Nijmegen,Utrecht,0,3,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-22,Groningen,Vitesse,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-22,PEC Zwolle,Sparta Rotterdam,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-22,Feyenoord,Heerenveen,3,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23,Cambuur,Heracles,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23,Twente,AZ Alkmaar,3,1,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Willem II,PSV Eindhoven,2,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Ajax,Groningen,3,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Vitesse,Fortuna Sittard,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Utrecht,PEC Zwolle,5,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
