Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,2023-08-11,19:00,Volendam,Vitesse,1,2,A,1,0,H,4,13,4,9,12,10,3,7,3,1,1,0
N1,2023-08-12,20:00,Zwolle,Sparta Rotterdam,1,2,A,0,1,A,20,9,7,4,8,15,7,1,2,4,0,0
N1,2023-08-12,19:00,Ajax,Heracles,4,1,H,1,1,D,31,7,13,2,11,14,13,4,2,5,0,0
N1,2023-08-12,17:45,Heerenveen,Waalwijk,3,1,H,3,0,H,19,13,9,5,9,8,7,2,0,1,0,0
N1,2023-08-12,15:30,PSV Eindhoven,Utrecht,2,0,H,1,0,H,23,7,8,1,15,14,4,2,2,1,0,0
N1,2023-08-13,15:45,Almere City,Twente,1,4,A,0,0,D,12,20,4,8,15,10,2,11,4,0,1,0
N1,2023-08-13,11:15,Nijmegen,Excelsior,3,4,A,2,1,H,8,6,6,6,4,10,2,7,1,2,0,0
N1,2023-08-13,13:30,AZ Alkmaar,Go Ahead Eagles,5,1,H,2,0,H,13,9,8,4,8,13,5,4,2,3,0,0
N1,2023-08-13,13:30,Feyenoord,For Sittard,0,0,D,0,0,D,22,14,6,5,4,21,8,3,0,6,1,0
N1,2023-08-18,19:00,Heracles,Nijmegen,2,1,H,0,1,A,16,17,7,4,10,10,5,9,2,2,0,0
N1,2023-08-19,17:45,Vitesse,PSV Eindhoven,1,3,A,1,0,H,12,19,2,7,7,2,4,7,0,1,0,0
N1,2023-08-19,19:00,For Sittard,Almere City,2,1,H,2,1,H,21,8,7,5,8,13,5,6,3,2,0,0
N1,2023-08-19,20:00,Go Ahead Eagles,Volendam,4,1,H,3,0,H,8,19,6,5,3,8,4,12,1,3,1,0
N1,2023-08-19,15:30,Excelsior,Ajax,2,2,D,1,1,D,13,15,2,8,7,7,4,10,0,0,0,0
N1,2023-08-20,13:30,Sparta Rotterdam,Feyenoord,2,2,D,1,0,H,10,24,5,8,9,5,3,12,2,0,0,0
N1,2023-08-20,13:30,Twente,Zwolle,3,1,H,1,1,D,18,9,3,4,6,15,8,3,2,5,0,0
N1,2023-08-20,15:45,Waalwijk,AZ Alkmaar,1,3,A,1,0,H,7,15,5,7,9,12,1,10,2,1,0,0
N1,2023-08-20,11:15,Utrecht,Heerenveen,0,2,A,0,0,D,12,12,6,6,11,10,9,2,0,1,0,0
N1,2023-08-26,20:00,Excelsior,For Sittard,2,2,D,1,0,H,9,13,6,5,5,9,0,6,1,1,0,0
N1,2023-08-26,17:45,Nijmegen,Waalwijk,3,0,H,1,0,H,13,10,10,1,10,9,2,4,1,2,0,0
N1,2023-08-27,15:45,Heerenveen,Sparta Rotterdam,1,3,A,0,1,A,19,16,6,7,4,8,6,7,0,0,1,0
N1,2023-08-27,13:30,Feyenoord,Almere City,6,1,H,3,0,H,31,6,18,1,8,15,8,2,0,1,0,0
N1,2023-08-27,11:15,Zwolle,Utrecht,1,0,H,0,0,D,9,10,2,1,13,8,2,8,2,3,0,0
N1,2023-09-01,19:00,Sparta Rotterdam,Nijmegen,1,1,D,0,0,D,15,13,6,6,11,10,10,1,1,4,0,0
N1,2023-09-02,19:00,Waalwijk,PSV Eindhoven,0,4,A,0,1,A,10,22,3,9,1,13,4,8,0,0,0,0
N1,2023-09-02,15:30,Almere City,Zwolle,1,2,A,0,1,A,10,13,3,6,12,10,7,4,3,4,0,1
N1,2023-09-02,20:00,Heracles,Excelsior,3,1,H,0,1,A,15,9,5,3,6,11,8,1,1,4,0,1
N1,2023-09-02,17:45,Go Ahead Eagles,Heerenveen,3,2,H,2,1,H,21,13,7,3,10,9,9,8,3,0,0,1
N1,2023-09-03,11:15,Utrecht,Feyenoord,1,5,A,1,2,A,5,21,1,11,13,13,5,8,1,0,0,0
N1,2023-09-03,15:45,Vitesse,AZ Alkmaar,0,2,A,0,0,D,4,16,2,7,12,10,0,9,3,0,0,0
N1,2023-09-03,13:30,Volendam,Twente,0,2,A,0,1,A,7,12,2,4,10,7,1,5,1,2,0,0
N1,2023-09-03,13:30,For Sittard,Ajax,0,0,D,0,0,D,12,12,4,4,20,7,3,7,3,2,0,0
N1,2023-09-16,19:00,For Sittard,Volendam,3,1,H,0,1,A,27,7,11,2,9,6,15,3,1,0,0,0
N1,2023-09-16,15:30,Feyenoord,Heerenveen,6,1,H,3,1,H,21,7,9,1,8,9,6,3,1,0,0,0
N1,2023-09-16,19:00,PSV Eindhoven,Nijmegen,4,0,H,2,0,H,28,3,11,0,11,11,8,3,1,2,0,0
N1,2023-09-16,20:00,Heracles,Utrecht,1,3,A,0,2,A,11,11,1,7,12,13,4,4,3,3,0,0
N1,2023-09-16,17:45,Vitesse,Waalwijk,0,2,A,0,1,A,16,18,2,9,9,9,8,6,1,5,1,0
N1,2023-09-17,15:45,AZ Alkmaar,Sparta Rotterdam,2,0,H,2,0,H,18,10,7,3,8,5,9,4,0,3,0,0
N1,2023-09-17,13:30,Twente,Ajax,3,1,H,2,1,H,24,11,9,2,13,9,5,9,1,2,0,0
N1,2023-09-17,11:15,Zwolle,Go Ahead Eagles,1,1,D,0,0,D,27,9,11,2,9,6,11,4,1,4,0,1
N1,2023-09-17,13:30,Excelsior,Almere City,0,0,D,0,0,D,14,16,2,3,7,13,4,5,2,3,0,0
N1,2023-09-22,19:00,Go Ahead Eagles,For Sittard,3,0,H,1,0,H,20,21,9,2,2,14,2,5,0,4,0,0
N1,2023-09-23,15:30,Volendam,Heracles,2,2,D,0,0,D,16,15,6,5,14,14,5,7,1,1,0,0
N1,2023-09-23,17:45,Nijmegen,Utrecht,3,0,H,2,0,H,9,17,5,4,8,11,4,4,1,2,0,0
N1,2023-09-23,19:00,Almere City,PSV Eindhoven,0,4,A,0,2,A,9,20,2,9,15,6,5,8,1,1,0,0
N1,2023-09-23,20:00,Heerenveen,Excelsior,0,3,A,0,2,A,9,7,2,4,10,11,3,2,4,2,0,0
N1,2023-09-24,11:15,Sparta Rotterdam,Vitesse,1,0,H,1,0,H,17,6,5,0,13,19,5,3,1,2,0,0
N1,2023-09-24,15:45,Waalwijk,Twente,1,0,H,0,0,D,9,7,3,2,12,13,1,6,1,1,0,0
N1,2023-09-24,15:45,Zwolle,AZ Alkmaar,0,3,A,0,1,A,7,15,3,5,13,8,2,6,3,3,0,0
N1,2023-09-27,19:00,Twente,Vitesse,1,0,H,1,0,H,18,10,5,3,10,15,5,2,1,4,0,0
N1,2023-09-27,13:00,Ajax,Feyenoord,0,4,A,0,3,A,9,14,2,7,15,14,4,0,3,2,0,0
N1,2023-09-27,17:45,PSV Eindhoven,Go Ahead Eagles,3,0,H,1,0,H,23,9,11,2,10,7,9,2,0,2,0,0
N1,2023-09-28,19:00,AZ Alkmaar,Heracles,1,1,D,1,0,H,21,4,7,2,9,8,16,0,1,2,0,0
N1,2023-09-30,20:00,Twente,Heerenveen,1,0,H,0,0,D,11,5,3,1,10,12,8,1,3,1,0,0
N1,2023-09-30,17:45,Utrecht,Almere City,0,2,A,0,0,D,11,17,2,5,18,15,4,6,4,4,1,0
N1,2023-09-30,17:45,PSV Eindhoven,Volendam,3,1,H,1,0,H,38,2,17,1,11,8,7,0,1,2,0,1
N1,2023-09-30,15:30,Feyenoord,Go Ahead Eagles,3,1,H,1,0,H,29,7,9,3,10,11,11,0,1,2,0,0
N1,2023-10-01,15:45,AZ Alkmaar,For Sittard,4,0,H,1,0,H,12,8,7,1,14,12,1,3,1,3,0,0
N1,2023-10-01,13:30,Heracles,Zwolle,2,1,H,0,0,D,13,13,6,5,8,12,2,2,1,3,0,0
N1,2023-10-01,11:15,Nijmegen,Vitesse,1,3,A,1,1,D,9,10,5,5,9,18,6,5,2,5,0,0
N1,2023-10-01,13:30,Excelsior,Sparta Rotterdam,2,1,H,0,0,D,15,9,7,5,9,12,2,7,4,1,0,0
N1,2023-10-06,19:00,Volendam,Utrecht,1,0,H,0,0,D,15,7,5,3,20,11,6,0,3,2,0,1
N1,2023-10-07,19:00,Go Ahead Eagles,Heracles,4,0,H,2,0,H,22,17,13,8,10,11,9,5,0,2,0,0
N1,2023-10-07,15:30,Heerenveen,Nijmegen,1,1,D,1,1,D,18,9,7,3,4,12,7,1,1,0,0,0
N1,2023-10-07,17:45,Almere City,Waalwijk,1,0,H,1,0,H,18,13,6,4,12,8,4,3,1,1,0,0
N1,2023-10-07,20:00,Vitesse,Excelsior,0,0,D,0,0,D,21,11,7,5,9,10,11,5,2,0,0,0
N1,2023-10-08,13:30,For Sittard,Twente,0,3,A,0,1,A,3,15,1,6,13,16,3,7,2,2,1,0
N1,2023-10-08,15:45,Sparta Rotterdam,PSV Eindhoven,0,4,A,0,0,D,8,30,3,11,12,14,1,8,3,1,0,0
N1,2023-10-08,11:15,Zwolle,Feyenoord,0,2,A,0,1,A,4,13,1,5,11,6,3,4,1,0,0,0
N1,2023-10-08,13:30,Ajax,AZ Alkmaar,1,2,A,0,1,A,6,12,1,4,7,12,6,4,2,1,0,0
N1,2023-10-21,17:45,PSV Eindhoven,For Sittard,3,1,H,1,0,H,18,2,6,1,8,5,10,1,0,1,0,0
N1,2023-10-21,17:45,Waalwijk,Volendam,2,1,H,1,0,H,10,11,4,3,6,10,3,4,3,2,0,0
N1,2023-10-21,19:00,Nijmegen,Almere City,1,1,D,0,1,A,12,14,4,2,11,19,6,5,2,2,1,0
N1,2023-10-21,20:00,AZ Alkmaar,Heerenveen,3,0,H,1,0,H,11,9,3,3,3,10,6,3,1,1,0,0
N1,2023-10-21,20:00,Feyenoord,Vitesse,4,0,H,2,0,H,23,4,8,1,9,6,9,2,0,1,0,0
N1,2023-10-22,15:45,Go Ahead Eagles,Sparta Rotterdam,0,0,D,0,0,D,16,15,6,6,4,10,3,6,0,0,0,0
N1,2023-10-22,13:30,Heracles,Twente,2,2,D,0,2,A,16,17,3,5,21,14,6,6,1,4,0,0
N1,2023-10-22,11:15,Utrecht,Ajax,4,3,H,1,0,H,14,11,8,6,11,9,6,5,1,2,0,0
N1,2023-10-22,13:30,Excelsior,Zwolle,2,4,A,1,0,H,18,11,6,6,8,10,2,4,0,2,0,0
N1,2023-10-27,19:00,Vitesse,Zwolle,1,1,D,0,1,A,29,5,12,2,7,12,18,2,0,1,0,0
N1,2023-10-28,20:00,For Sittard,Utrecht,0,0,D,0,0,D,12,12,6,3,7,5,5,5,1,1,0,0
N1,2023-10-28,19:00,Sparta Rotterdam,Waalwijk,2,0,H,0,0,D,15,11,4,3,7,7,8,4,2,1,1,0
N1,2023-10-28,19:00,Almere City,Go Ahead Eagles,0,0,D,0,0,D,12,9,1,3,19,7,6,5,1,0,0,0
N1,2023-10-28,17:45,Heerenveen,Heracles,3,0,H,2,0,H,18,9,9,3,11,9,10,4,2,2,0,0
N1,2023-10-29,13:30,Volendam,Excelsior,3,1,H,0,1,A,20,10,12,2,5,13,8,6,1,2,0,0
N1,2023-10-29,13:30,PSV Eindhoven,Ajax,5,2,H,1,2,A,26,16,9,7,9,8,5,5,1,2,0,0
N1,2023-10-29,11:15,Twente,Feyenoord,2,1,H,1,0,H,12,11,5,6,12,16,2,5,5,1,0,0
N1,2023-11-02,19:00,Ajax,Volendam,2,0,H,0,0,D,30,7,10,3,6,6,9,4,0,1,0,0
N1,2023-11-04,15:30,Heracles,PSV Eindhoven,0,6,A,0,2,A,7,34,1,11,9,7,1,7,1,0,1,0
N1,2023-11-04,20:00,Go Ahead Eagles,Vitesse,5,1,H,1,0,H,22,13,14,3,5,13,4,6,0,4,0,0
N1,2023-11-04,17:45,Waalwijk,Feyenoord,1,2,A,1,1,D,5,27,1,12,6,5,2,10,0,2,1,0
N1,2023-11-04,17:45,Excelsior,AZ Alkmaar,1,1,D,0,0,D,15,11,5,4,11,9,3,7,2,3,0,0
N1,2023-11-05,15:45,Ajax,Heerenveen,4,1,H,2,1,H,14,12,8,3,10,8,5,8,1,2,0,0
N1,2023-11-05,13:30,Zwolle,For Sittard,2,0,H,1,0,H,15,8,6,2,11,9,2,2,3,1,0,0
N1,2023-11-05,13:30,Nijmegen,Volendam,3,3,D,1,1,D,13,15,7,7,6,11,8,4,4,2,1,0
N1,2023-11-05,15:45,Sparta Rotterdam,Almere City,1,2,A,0,1,A,24,11,6,4,2,13,10,3,0,0,0,0
N1,2023-11-05,11:15,Utrecht,Twente,1,1,D,1,1,D,14,10,6,1,6,10,5,2,3,4,0,1
N1,2023-11-10,19:00,For Sittard,Heracles,4,1,H,4,0,H,15,7,8,3,10,10,9,7,0,4,0,0
N1,2023-11-11,19:00,Twente,Nijmegen,3,3,D,1,0,H,35,14,7,8,9,14,13,3,1,3,0,0
N1,2023-11-11,20:00,Vitesse,Heerenveen,1,3,A,1,1,D,9,19,5,7,10,3,4,7,2,1,1,0
N1,2023-11-11,17:45,Waalwijk,Go Ahead Eagles,0,1,A,0,1,A,19,9,5,2,8,5,7,0,1,0,0,0
N1,2023-11-12,11:15,PSV Eindhoven,Zwolle,4,0,H,2,0,H,21,3,6,2,8,7,12,0,0,2,0,0
N1,2023-11-12,19:00,Utrecht,Excelsior,2,2,D,0,0,D,13,12,6,6,6,11,13,2,0,1,0,0
N1,2023-11-12,13:30,Almere City,Ajax,2,2,D,0,0,D,13,22,5,13,12,10,4,6,5,2,0,0
N1,2023-11-12,13:30,Volendam,Sparta Rotterdam,1,4,A,1,2,A,17,16,1,7,4,10,3,5,0,1,0,0
N1,2023-11-12,15:45,Feyenoord,AZ Alkmaar,1,0,H,1,0,H,10,7,5,1,8,13,2,0,2,1,0,0
N1,2023-11-25,15:30,Excelsior,Feyenoord,2,4,A,1,1,D,13,20,3,9,5,9,2,5,1,1,0,0
N1,2023-11-25,20:00,Zwolle,Waalwijk,1,2,A,1,1,D,17,13,6,4,7,12,5,8,1,2,0,0
N1,2023-11-25,20:00,Ajax,Vitesse,5,0,H,2,0,H,19,9,12,4,9,5,7,4,1,2,0,0
N1,2023-11-25,17:45,Twente,PSV Eindhoven,0,3,A,0,1,A,12,17,1,7,9,8,3,4,1,2,1,0
N1,2023-11-25,17:45,Heerenveen,For Sittard,3,0,H,1,0,H,16,10,5,4,8,6,3,7,1,2,0,0
N1,2023-11-26,13:30,AZ Alkmaar,Volendam,3,0,H,1,0,H,19,7,8,1,6,8,5,4,0,0,0,0
N1,2023-11-26,11:15,Almere City,Heracles,0,5,A,0,1,A,17,17,3,6,6,15,6,4,0,3,0,0
N1,2023-11-26,13:30,Nijmegen,Go Ahead Eagles,1,1,D,0,0,D,15,13,5,4,9,11,4,10,0,3,0,0
N1,2023-11-26,15:45,Sparta Rotterdam,Utrecht,1,2,A,1,1,D,19,7,6,2,9,6,5,4,0,3,0,0
N1,2023-12-01,19:00,Heerenveen,Almere City,3,0,H,2,0,H,15,13,8,2,6,12,7,8,1,2,0,0
N1,2023-12-02,20:00,Heracles,Sparta Rotterdam,0,1,A,0,0,D,13,10,3,4,11,7,6,3,1,0,0,0
N1,2023-12-02,19:00,Waalwijk,Excelsior,2,2,D,1,0,H,17,13,8,6,4,4,2,2,0,0,0,0
N1,2023-12-02,17:45,Volendam,Zwolle,0,5,A,0,0,D,9,20,3,10,5,4,6,5,2,0,0,0
N1,2023-12-02,19:00,For Sittard,Vitesse,3,1,H,2,0,H,15,8,11,4,16,14,5,4,1,3,0,1
N1,2023-12-03,15:45,Utrecht,AZ Alkmaar,1,1,D,0,1,A,15,20,4,9,10,13,7,5,0,1,0,0
N1,2023-12-03,13:30,Go Ahead Eagles,Twente,1,3,A,0,2,A,15,13,9,5,7,17,4,4,1,0,0,0
N1,2023-12-03,11:15,Feyenoord,PSV Eindhoven,1,2,A,0,0,D,14,14,3,7,10,13,10,5,1,3,0,0
N1,2023-12-03,13:30,Nijmegen,Ajax,1,2,A,0,0,D,7,22,3,10,4,7,2,6,0,0,0,0
N1,2023-12-06,18:00,AZ Alkmaar,Nijmegen,1,2,A,0,2,A,26,4,4,2,4,6,13,1,0,1,0,0
N1,2023-12-06,19:00,Waalwijk,Ajax,2,3,A,1,2,A,10,16,2,6,12,9,8,9,2,0,0,0
N1,2023-12-07,17:45,PSV Eindhoven,Heerenveen,2,0,H,1,0,H,30,12,8,1,4,10,11,2,2,1,0,0
N1,2023-12-07,20:00,Feyenoord,Volendam,3,1,H,1,1,D,30,2,10,2,4,5,12,3,1,1,0,0
N1,2023-12-08,19:00,Twente,Excelsior,4,2,H,1,2,A,31,5,9,4,5,7,10,2,2,4,0,1
N1,2023-12-09,17:45,Ajax,Sparta Rotterdam,2,1,H,2,0,H,23,10,6,2,6,7,7,7,0,1,0,0
N1,2023-12-09,19:00,Zwolle,Nijmegen,1,3,A,0,1,A,16,17,3,9,12,3,1,6,1,0,0,0
N1,2023-12-09,20:00,AZ Alkmaar,Almere City,4,1,H,1,0,H,13,13,7,6,9,17,6,5,2,5,0,0
N1,2023-12-10,13:30,For Sittard,Waalwijk,1,0,H,0,0,D,11,13,3,2,9,10,9,6,2,2,0,0
N1,2023-12-10,15:45,Vitesse,Heracles,2,0,H,1,0,H,12,12,2,3,12,7,3,5,2,1,0,0
N1,2023-12-10,11:15,Go Ahead Eagles,Utrecht,0,2,A,0,2,A,22,12,7,3,8,7,11,1,0,0,0,0
N1,2023-12-15,19:00,Nijmegen,For Sittard,4,1,H,2,0,H,16,11,7,4,11,12,5,7,3,2,1,1
N1,2023-12-16,17:45,Excelsior,Go Ahead Eagles,1,1,D,0,0,D,11,11,3,5,6,7,1,4,0,2,0,0
N1,2023-12-16,15:30,Utrecht,Waalwijk,1,1,D,1,1,D,17,12,6,4,13,13,10,4,0,4,0,0
N1,2023-12-16,20:00,Heerenveen,Volendam,1,2,A,0,1,A,20,3,7,2,7,10,19,2,1,2,0,0
N1,2023-12-17,11:15,Almere City,Vitesse,5,0,H,2,0,H,11,7,7,4,16,16,6,2,0,0,0,0
N1,2023-12-17,13:30,Heracles,Feyenoord,0,4,A,0,2,A,2,26,0,12,12,10,3,10,3,0,0,0
N1,2023-12-17,13:30,Sparta Rotterdam,Twente,2,2,D,0,1,A,12,39,8,9,11,7,3,14,2,1,1,0
N1,2023-12-17,15:45,Ajax,Zwolle,2,2,D,1,0,H,16,11,5,4,5,10,5,0,1,3,0,0
N1,2023-12-17,19:00,AZ Alkmaar,PSV Eindhoven,0,4,A,0,3,A,1,23,0,8,11,12,1,5,2,0,0,0
N1,2024-01-12,19:00,Waalwijk,Heracles,1,2,A,0,1,A,18,9,8,2,13,8,7,4,1,1,0,0
N1,2024-01-13,20:00,PSV Eindhoven,Excelsior,3,1,H,2,0,H,27,8,15,3,2,3,12,2,0,0,0,0
N1,2024-01-13,19:00,Zwolle,Heerenveen,2,2,D,0,1,A,13,20,5,10,13,10,4,6,1,2,0,0
N1,2024-01-13,17:45,Twente,AZ Alkmaar,2,1,H,1,1,D,19,5,8,2,9,12,5,3,3,2,0,0
N1,2024-01-13,15:30,For Sittard,Sparta Rotterdam,0,2,A,0,1,A,25,10,6,7,8,8,7,2,3,1,0,0
N1,2024-01-14,11:15,Volendam,Almere City,0,1,A,0,1,A,5,10,2,2,11,12,5,4,1,1,0,0
N1,2024-01-14,13:30,Go Ahead Eagles,Ajax,2,3,A,1,2,A,24,17,12,6,7,10,6,4,0,2,0,0
N1,2024-01-14,13:30,Vitesse,Utrecht,0,0,D,0,0,D,12,20,6,4,11,12,1,14,1,1,0,0
N1,2024-01-14,15:45,Feyenoord,Nijmegen,2,2,D,2,1,H,25,2,5,2,8,13,9,0,2,2,0,0
N1,2024-01-19,19:00,Excelsior,Heerenveen,3,0,H,2,0,H,14,9,7,1,11,7,6,5,2,1,0,0
N1,2024-01-20,19:00,AZ Alkmaar,Zwolle,2,2,D,0,0,D,19,8,8,5,8,5,11,3,2,0,0,0
