Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-06,Sporting CP,Vizela,3,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Arouca,Estoril,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Moreirense,Benfica,1,2,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,Maritimo,SC Braga,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Tondela,Santa Clara,3,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Guimaraes,Portimonense,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,FC Porto,Belenenses,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,Pacos Ferreira,Famalicao,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-09,GIL Vicente,Boavista,3,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,Estoril,Guimaraes,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Vizela,Tondela,2,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,Benfica,Arouca,2,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,SC Braga,Sporting CP,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Portimonense,GIL Vicente,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Famalicao,FC Porto,1,2,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Santa Clara,Moreirense,2,2,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,Boavista,Pacos Ferreira,3,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,Belenenses,Maritimo,1,2,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,Moreirense,SC Braga,2,3,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,Arouca,Famalicao,2,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,GIL Vicente,Benfica,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,Sporting CP,Belenenses,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Tondela,Portimonense,0,3,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Maritimo,FC Porto,1,1,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,Guimaraes,Vizela,4,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,Pacos Ferreira,Estoril,1,3,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,Boavista,Santa Clara,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,Estoril,Maritimo,2,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,Belenenses,Moreirense,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Vizela,Boavista,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,FC Porto,Arouca,3,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,Famalicao,Sporting CP,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,Santa Clara,GIL Vicente,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,Benfica,Tondela,2,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,SC Braga,Guimaraes,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,Portimonense,Pacos Ferreira,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Santa Clara,Benfica,0,5,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Sporting CP,FC Porto,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,Pacos Ferreira,SC Braga,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,Moreirense,Famalicao,2,2,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,Boavista,Portimonense,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,GIL Vicente,Vizela,2,2,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,Guimaraes,Belenenses,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,Maritimo,Arouca,2,2,D,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,Tondela,Estoril,1,2,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,Portimonense,Santa Clara,2,1,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Arouca,Guimaraes,2,2,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Belenenses,GIL Vicente,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,Famalicao,Maritimo,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,Vizela,Pacos Ferreira,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,FC Porto,Moreirense,5,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,Estoril,Sporting CP,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20,Benfica,Boavista,3,1,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20,SC Braga,Tondela,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-24,Sporting CP,Maritimo,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-24,GIL Vicente,FC Porto,1,2,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Tondela,Famalicao,3,2,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Guimaraes,Benfica,1,3,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,Moreirense,Arouca,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-26,Santa Clara,SC Braga,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-26,Portimonense,Vizela,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-27,Pacos Ferreira,Belenenses,2,2,D,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-27,Boavista,Estoril,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,Maritimo,Moreirense,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,Famalicao,Guimaraes,1,2,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Vizela,Santa Clara,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,FC Porto,Pacos Ferreira,2,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,Arouca,Sporting CP,1,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-03,Belenenses,Tondela,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-03,Benfica,Portimonense,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-03,Estoril,GIL Vicente,2,2,D,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-03,SC Braga,Boavista,2,2,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-22,Guimaraes,Maritimo,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,Tondela,FC Porto,1,3,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,Sporting CP,Moreirense,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,Santa Clara,Famalicao,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-24,Portimonense,Estoril,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-24,Pacos Ferreira,Arouca,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-24,Vizela,Benfica,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-25,GIL Vicente,SC Braga,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-25,Boavista,Belenenses,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-29,Arouca,Tondela,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,FC Porto,Boavista,4,1,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,Estoril,Benfica,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,Sporting CP,Guimaraes,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,Belenenses,Santa Clara,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,Famalicao,Vizela,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,Maritimo,GIL Vicente,1,2,A,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,SC Braga,Portimonense,3,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,Moreirense,Pacos Ferreira,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-05,GIL Vicente,Arouca,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-05,Boavista,Famalicao,2,5,A,1,3,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Vizela,Estoril,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Portimonense,Belenenses,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Guimaraes,Moreirense,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,Benfica,SC Braga,6,1,H,4,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,Pacos Ferreira,Sporting CP,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,Santa Clara,FC Porto,0,3,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,Tondela,Maritimo,4,2,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-26,Moreirense,GIL Vicente,2,2,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,Famalicao,Portimonense,0,3,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,Arouca,Boavista,2,1,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,Belenenses,Benfica,0,7,A,0,7,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,Maritimo,Pacos Ferreira,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,Sporting CP,Tondela,2,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,FC Porto,Guimaraes,2,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-29,Estoril,Santa Clara,2,2,D,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-30,SC Braga,Vizela,4,1,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-03,Portimonense,FC Porto,0,3,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-03,Benfica,Sporting CP,1,3,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-04,Boavista,Maritimo,1,1,D,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-04,Pacos Ferreira,Guimaraes,1,2,A,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,Santa Clara,Arouca,2,1,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,GIL Vicente,Famalicao,4,0,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,SC Braga,Estoril,2,0,H,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-10,Pacos Ferreira,GIL Vicente,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,Maritimo,Santa Clara,4,1,H,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,Guimaraes,Tondela,5,2,H,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,Sporting CP,Boavista,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-12,Moreirense,Portimonense,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-12,Belenenses,Estoril,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-12,Famalicao,Benfica,1,4,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-12,FC Porto,SC Braga,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-13,Arouca,Vizela,1,4,A,0,4,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,Estoril,Famalicao,2,2,D,2,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,Santa Clara,Guimaraes,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,Portimonense,Arouca,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,Tondela,Pacos Ferreira,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,GIL Vicente,Sporting CP,0,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-19,Benfica,Maritimo,7,1,H,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-19,Boavista,Moreirense,1,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
