Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
P1,18/09/2020,19:00,Famalicao,Benfica,1,5,A,0,3,A,6,13,2,7,14,10,3,4,1,2,0,0,1.69,2.16
P1,18/09/2020,21:15,Guimaraes,Belenenses,0,1,A,0,0,D,11,4,2,3,14,20,7,2,1,4,0,0,1.81,2.0
P1,19/09/2020,16:00,Nacional,Boavista,3,3,D,2,2,D,14,8,7,3,24,21,6,4,4,3,0,0,2.54,1.5
P1,19/09/2020,21:00,Porto,Sp Braga,3,1,H,2,1,H,11,7,4,1,17,18,5,1,0,0,0,0,1.76,2.06
P1,20/09/2020,16:00,Santa Clara,Maritimo,2,0,H,0,0,D,12,12,5,2,15,17,5,6,2,1,0,0,2.26,1.62
P1,20/09/2020,18:30,Moreirense,Farense,2,0,H,1,0,H,13,10,5,2,17,13,4,6,2,4,0,1,2.36,1.57
P1,20/09/2020,21:00,Tondela,Rio Ave,1,1,D,1,0,H,7,14,2,4,15,11,1,6,1,0,0,0,2.32,1.59
P1,21/09/2020,19:45,Portimonense,Pacos Ferreira,1,1,D,0,1,A,12,16,3,5,23,16,4,9,1,1,0,0,2.28,1.6
P1,25/09/2020,20:30,Sp Braga,Santa Clara,0,1,A,0,1,A,22,6,4,1,13,17,8,0,2,4,0,0,1.81,2.0
P1,26/09/2020,21:00,Boavista,Porto,0,5,A,0,0,D,11,15,4,6,19,19,3,2,1,0,0,0,1.82,1.98
P1,26/09/2020,18:30,Benfica,Moreirense,2,0,H,1,0,H,29,5,10,1,11,15,10,1,2,0,0,0,1.41,2.83
P1,26/09/2020,15:30,Maritimo,Tondela,2,1,H,2,1,H,8,21,6,6,19,16,0,8,4,2,1,0,2.38,1.56
P1,27/09/2020,15:30,Farense,Nacional,0,1,A,0,0,D,18,9,4,4,11,15,11,5,1,4,0,0,2.21,1.64
P1,27/09/2020,16:00,Gil Vicente,Portimonense,1,0,H,0,0,D,9,13,3,2,14,12,10,7,2,3,0,0,2.39,1.56
P1,27/09/2020,18:30,Pacos Ferreira,Sp Lisbon,0,2,A,0,1,A,9,11,0,5,18,12,4,8,0,0,0,0,2.11,1.71
P1,27/09/2020,21:00,Rio Ave,Guimaraes,0,0,D,0,0,D,7,10,3,3,13,16,4,4,2,3,0,0,2.14,1.68
P1,28/09/2020,19:45,Belenenses,Famalicao,1,2,A,1,0,H,10,6,5,2,17,24,5,2,3,5,0,0,2.1,1.71
P1,02/10/2020,19:00,Moreirense,Boavista,1,1,D,0,1,A,14,16,6,5,10,19,5,3,1,1,0,0,2.28,1.62
