Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
T1,2023-08-11,19:00,Trabzonspor,Antalyaspor,1,0,H,1.0,0.0,H,13.0,11.0,5.0,2.0,18.0,11.0,6.0,9.0,0.0,1.0,0.0,0.0
T1,2023-08-12,17:15,Kasimpasa,Ankaragucu,3,2,H,1.0,0.0,H,15.0,9.0,5.0,3.0,8.0,15.0,3.0,5.0,1.0,0.0,0.0,0.0
T1,2023-08-12,17:15,Konyaspor,Istanbulspor,1,1,D,0.0,1.0,A,15.0,4.0,2.0,2.0,13.0,10.0,10.0,2.0,3.0,5.0,1.0,2.0
T1,2023-08-12,19:45,Kayserispor,Galatasaray,0,0,D,0.0,0.0,D,12.0,17.0,3.0,3.0,11.0,6.0,3.0,9.0,2.0,2.0,0.0,0.0
T1,2023-08-12,19:45,Pendikspor,Hatayspor,1,5,A,0.0,2.0,A,6.0,15.0,4.0,9.0,10.0,18.0,4.0,2.0,0.0,1.0,0.0,0.0
T1,2023-08-13,17:15,Sivasspor,Samsunspor,1,1,D,1.0,0.0,H,6.0,11.0,2.0,3.0,11.0,11.0,4.0,5.0,2.0,1.0,0.0,0.0
T1,2023-08-13,19:45,Fenerbahce,Gaziantep,2,1,H,2.0,1.0,H,21.0,4.0,5.0,1.0,13.0,12.0,3.0,1.0,0.0,6.0,0.0,1.0
T1,2023-08-13,19:45,Ad. Demirspor,Rizespor,2,1,H,1.0,0.0,H,9.0,13.0,6.0,4.0,15.0,14.0,4.0,5.0,6.0,6.0,0.0,0.0
T1,2023-08-14,19:00,Karagumruk,Besiktas,0,1,A,0.0,0.0,D,2.0,9.0,0.0,6.0,13.0,14.0,4.0,4.0,4.0,1.0,0.0,0.0
T1,2023-08-14,19:00,Alanyaspor,Buyuksehyr,2,0,H,1.0,0.0,H,11.0,8.0,4.0,3.0,15.0,14.0,4.0,5.0,5.0,4.0,0.0,1.0
T1,2023-08-18,19:00,Istanbulspor,Kayserispor,1,1,D,0.0,0.0,D,7.0,9.0,3.0,4.0,11.0,11.0,4.0,6.0,1.0,0.0,0.0,0.0
T1,2023-08-18,19:00,Antalyaspor,Konyaspor,1,1,D,0.0,0.0,D,14.0,7.0,3.0,3.0,14.0,12.0,5.0,5.0,2.0,2.0,0.0,0.0
T1,2023-08-19,17:15,Rizespor,Alanyaspor,0,0,D,0.0,0.0,D,10.0,8.0,3.0,2.0,12.0,13.0,3.0,3.0,3.0,3.0,0.0,1.0
T1,2023-08-19,19:45,Galatasaray,Trabzonspor,2,0,H,1.0,0.0,H,15.0,5.0,5.0,1.0,21.0,3.0,7.0,1.0,4.0,3.0,0.0,0.0
T1,2023-08-19,19:45,Hatayspor,Kasimpasa,0,0,D,0.0,0.0,D,8.0,11.0,2.0,2.0,7.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0
T1,2023-08-20,19:45,Besiktas,Pendikspor,1,1,D,1.0,0.0,H,15.0,11.0,6.0,1.0,11.0,9.0,6.0,4.0,4.0,2.0,0.0,0.0
T1,2023-08-20,17:15,Buyuksehyr,Karagumruk,0,2,A,0.0,2.0,A,15.0,9.0,5.0,2.0,11.0,14.0,5.0,4.0,3.0,4.0,0.0,0.0
T1,2023-08-20,19:45,Gaziantep,Sivasspor,1,3,A,0.0,2.0,A,11.0,13.0,2.0,7.0,19.0,16.0,7.0,4.0,6.0,4.0,0.0,0.0
T1,2023-08-21,19:00,Ankaragucu,Ad. Demirspor,1,1,D,1.0,1.0,D,18.0,12.0,5.0,4.0,9.0,10.0,3.0,4.0,1.0,1.0,0.0,0.0
T1,2023-08-21,19:00,Samsunspor,Fenerbahce,0,2,A,0.0,0.0,D,5.0,13.0,1.0,6.0,11.0,10.0,2.0,5.0,1.0,1.0,0.0,0.0
T1,2023-08-25,19:00,Konyaspor,Gaziantep,2,0,H,0.0,0.0,D,17.0,8.0,8.0,3.0,9.0,8.0,10.0,2.0,1.0,2.0,0.0,0.0
T1,2023-08-26,17:15,Kasimpasa,Pendikspor,1,1,D,0.0,1.0,A,7.0,16.0,3.0,6.0,10.0,19.0,9.0,2.0,3.0,2.0,0.0,1.0
T1,2023-08-26,17:15,Trabzonspor,Rizespor,2,3,A,0.0,2.0,A,20.0,12.0,7.0,7.0,10.0,17.0,9.0,2.0,1.0,2.0,0.0,0.0
T1,2023-08-26,19:45,Sivasspor,Antalyaspor,1,1,D,1.0,1.0,D,6.0,8.0,2.0,4.0,11.0,15.0,3.0,4.0,3.0,3.0,0.0,0.0
T1,2023-08-27,17:15,Kayserispor,Samsunspor,2,1,H,2.0,1.0,H,11.0,6.0,4.0,1.0,7.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0
T1,2023-08-27,17:15,Karagumruk,Ankaragucu,1,1,D,1.0,0.0,H,6.0,7.0,2.0,5.0,15.0,12.0,3.0,5.0,1.0,1.0,0.0,0.0
T1,2023-08-27,19:45,Alanyaspor,Hatayspor,0,0,D,0.0,0.0,D,15.0,5.0,5.0,0.0,9.0,17.0,9.0,1.0,4.0,3.0,0.0,0.0
T1,2023-09-01,19:00,Rizespor,Karagumruk,1,0,H,1.0,0.0,H,13.0,17.0,4.0,3.0,12.0,17.0,1.0,6.0,3.0,2.0,0.0,0.0
T1,2023-09-01,19:00,Kasimpasa,Trabzonspor,1,5,A,0.0,3.0,A,19.0,7.0,6.0,6.0,10.0,16.0,9.0,3.0,3.0,3.0,0.0,0.0
T1,2023-09-02,17:15,Buyuksehyr,Konyaspor,0,1,A,0.0,0.0,D,11.0,13.0,2.0,5.0,13.0,13.0,2.0,4.0,4.0,2.0,1.0,0.0
T1,2023-09-02,17:15,Pendikspor,Alanyaspor,1,1,D,0.0,0.0,D,10.0,8.0,3.0,4.0,9.0,14.0,8.0,4.0,2.0,2.0,0.0,0.0
T1,2023-09-02,19:45,Antalyaspor,Kayserispor,1,1,D,1.0,1.0,D,20.0,7.0,7.0,3.0,14.0,11.0,9.0,3.0,2.0,3.0,0.0,0.0
T1,2023-09-02,19:45,Gaziantep,Galatasaray,0,3,A,0.0,1.0,A,15.0,15.0,7.0,4.0,12.0,13.0,4.0,7.0,2.0,0.0,0.0,0.0
T1,2023-09-03,17:15,Besiktas,Sivasspor,2,0,H,2.0,0.0,H,17.0,5.0,8.0,1.0,17.0,17.0,7.0,2.0,2.0,4.0,0.0,0.0
T1,2023-09-03,19:45,Hatayspor,Ad. Demirspor,3,3,D,0.0,1.0,A,14.0,11.0,7.0,6.0,19.0,9.0,3.0,7.0,6.0,2.0,0.0,0.0
T1,2023-09-03,19:45,Ankaragucu,Fenerbahce,0,1,A,0.0,0.0,D,14.0,14.0,2.0,2.0,15.0,14.0,4.0,2.0,2.0,3.0,0.0,1.0
T1,2023-09-16,18:00,Ad. Demirspor,Pendikspor,3,0,H,2.0,0.0,H,18.0,15.0,7.0,5.0,8.0,6.0,6.0,6.0,0.0,3.0,0.0,0.0
T1,2023-09-16,18:00,Galatasaray,Samsunspor,4,2,H,3.0,0.0,H,9.0,9.0,5.0,4.0,17.0,15.0,2.0,6.0,1.0,3.0,0.0,0.0
T1,2023-09-16,15:00,Konyaspor,Rizespor,1,2,A,1.0,0.0,H,6.0,11.0,4.0,2.0,12.0,14.0,2.0,4.0,2.0,1.0,0.0,0.0
T1,2023-09-16,15:00,Kayserispor,Gaziantep,2,0,H,1.0,0.0,H,10.0,16.0,4.0,5.0,11.0,8.0,3.0,7.0,0.0,1.0,0.0,0.0
T1,2023-09-17,18:00,Trabzonspor,Besiktas,3,0,H,2.0,0.0,H,8.0,7.0,5.0,1.0,15.0,11.0,2.0,7.0,4.0,1.0,0.0,0.0
T1,2023-09-17,15:00,Istanbulspor,Buyuksehyr,0,2,A,0.0,0.0,D,5.0,20.0,0.0,8.0,15.0,9.0,0.0,7.0,4.0,0.0,0.0,0.0
T1,2023-09-17,15:00,Fenerbahce,Antalyaspor,3,2,H,1.0,1.0,D,17.0,14.0,10.0,6.0,13.0,11.0,7.0,5.0,3.0,4.0,0.0,0.0
T1,2023-09-17,18:00,Alanyaspor,Kasimpasa,3,3,D,2.0,1.0,H,13.0,17.0,6.0,3.0,9.0,11.0,5.0,7.0,0.0,0.0,0.0,0.0
T1,2023-09-18,18:00,Karagumruk,Hatayspor,0,0,D,0.0,0.0,D,5.0,18.0,2.0,5.0,14.0,9.0,3.0,3.0,3.0,2.0,0.0,0.0
T1,2023-09-18,18:00,Sivasspor,Ankaragucu,1,3,A,1.0,1.0,D,15.0,15.0,9.0,5.0,7.0,12.0,5.0,3.0,3.0,2.0,1.0,0.0
T1,2023-09-22,18:00,Gaziantep,Istanbulspor,2,0,H,0.0,0.0,D,13.0,5.0,2.0,0.0,11.0,13.0,8.0,4.0,1.0,5.0,0.0,0.0
T1,2023-09-23,18:00,Antalyaspor,Samsunspor,2,0,H,2.0,0.0,H,7.0,9.0,3.0,1.0,22.0,11.0,1.0,4.0,2.0,1.0,0.0,0.0
T1,2023-09-23,18:00,Buyuksehyr,Galatasaray,1,2,A,0.0,1.0,A,6.0,17.0,2.0,4.0,18.0,15.0,2.0,4.0,3.0,2.0,0.0,0.0
T1,2023-09-23,15:00,Rizespor,Sivasspor,1,1,D,1.0,1.0,D,14.0,14.0,4.0,4.0,12.0,17.0,5.0,4.0,7.0,3.0,0.0,0.0
T1,2023-09-23,15:00,Pendikspor,Karagumruk,1,1,D,1.0,0.0,H,8.0,10.0,4.0,4.0,13.0,10.0,5.0,4.0,0.0,1.0,0.0,0.0
T1,2023-09-24,15:00,Ankaragucu,Konyaspor,1,1,D,1.0,1.0,D,15.0,7.0,1.0,1.0,15.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0
T1,2023-09-24,15:00,Besiktas,Kayserispor,2,1,H,0.0,0.0,D,23.0,5.0,10.0,1.0,13.0,10.0,7.0,2.0,1.0,0.0,0.0,0.0
T1,2023-09-24,18:00,Kasimpasa,Ad. Demirspor,2,1,H,1.0,0.0,H,13.0,19.0,7.0,6.0,21.0,7.0,6.0,11.0,4.0,2.0,0.0,3.0
T1,2023-09-24,18:00,Alanyaspor,Fenerbahce,0,1,A,0.0,1.0,A,2.0,14.0,1.0,7.0,15.0,14.0,4.0,5.0,2.0,6.0,0.0,0.0
T1,2023-09-25,18:00,Hatayspor,Trabzonspor,3,2,H,0.0,1.0,A,9.0,6.0,3.0,3.0,22.0,13.0,9.0,1.0,6.0,2.0,0.0,0.0
T1,2023-09-26,18:00,Istanbulspor,Galatasaray,0,1,A,0.0,1.0,A,4.0,17.0,3.0,7.0,12.0,16.0,3.0,4.0,1.0,2.0,0.0,0.0
T1,2023-09-27,18:00,Ad. Demirspor,Besiktas,4,2,H,2.0,0.0,H,14.0,16.0,7.0,5.0,16.0,15.0,1.0,5.0,2.0,1.0,0.0,0.0
T1,2023-09-28,18:00,Fenerbahce,Buyuksehyr,4,0,H,3.0,0.0,H,16.0,6.0,8.0,0.0,22.0,9.0,14.0,2.0,4.0,1.0,0.0,0.0
T1,2023-09-29,18:00,Samsunspor,Gaziantep,1,2,A,0.0,2.0,A,18.0,4.0,2.0,3.0,13.0,12.0,9.0,2.0,2.0,3.0,0.0,0.0
T1,2023-09-30,14:00,Istanbulspor,Antalyaspor,1,2,A,1.0,0.0,H,4.0,17.0,3.0,5.0,8.0,17.0,4.0,8.0,2.0,3.0,0.0,0.0
T1,2023-09-30,11:30,Sivasspor,Hatayspor,0,0,D,0.0,0.0,D,12.0,4.0,4.0,1.0,9.0,20.0,6.0,7.0,3.0,3.0,0.0,0.0
T1,2023-09-30,14:00,Trabzonspor,Pendikspor,2,1,H,2.0,1.0,H,11.0,9.0,3.0,4.0,19.0,8.0,4.0,2.0,2.0,1.0,1.0,0.0
T1,2023-09-30,17:00,Galatasaray,Ankaragucu,2,1,H,0.0,0.0,D,34.0,7.0,13.0,2.0,11.0,10.0,12.0,3.0,0.0,3.0,0.0,0.0
T1,2023-10-01,11:30,Karagumruk,Kasimpasa,2,3,A,1.0,3.0,A,13.0,4.0,4.0,3.0,9.0,14.0,8.0,0.0,3.0,3.0,0.0,0.0
T1,2023-10-01,17:00,Konyaspor,Besiktas,0,2,A,0.0,1.0,A,5.0,6.0,3.0,1.0,13.0,20.0,2.0,6.0,2.0,3.0,1.0,0.0
T1,2023-10-01,17:00,Ad. Demirspor,Alanyaspor,4,0,H,1.0,0.0,H,15.0,9.0,7.0,1.0,11.0,14.0,7.0,3.0,2.0,3.0,0.0,0.0
T1,2023-10-01,14:00,Fenerbahce,Rizespor,5,0,H,1.0,0.0,H,23.0,5.0,11.0,1.0,10.0,15.0,8.0,2.0,1.0,3.0,0.0,0.0
T1,2023-10-02,18:00,Kayserispor,Buyuksehyr,0,0,D,0.0,0.0,D,14.0,8.0,1.0,4.0,6.0,15.0,10.0,5.0,2.0,2.0,0.0,0.0
T1,2023-10-06,18:00,Alanyaspor,Karagumruk,2,1,H,1.0,0.0,H,6.0,10.0,3.0,4.0,16.0,16.0,3.0,6.0,4.0,1.0,0.0,0.0
T1,2023-10-06,18:00,Ad. Demirspor,Trabzonspor,1,0,H,1.0,0.0,H,13.0,18.0,8.0,3.0,17.0,9.0,3.0,3.0,5.0,3.0,0.0,0.0
T1,2023-10-07,17:00,Buyuksehyr,Gaziantep,2,0,H,2.0,0.0,H,8.0,12.0,3.0,1.0,12.0,10.0,5.0,7.0,0.0,0.0,0.0,0.0
T1,2023-10-07,11:30,Pendikspor,Sivasspor,2,3,A,0.0,1.0,A,15.0,15.0,6.0,7.0,14.0,13.0,9.0,4.0,5.0,2.0,0.0,0.0
T1,2023-10-07,14:00,Ankaragucu,Kayserispor,3,0,H,0.0,0.0,D,12.0,4.0,8.0,1.0,1.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0
T1,2023-10-07,17:00,Antalyaspor,Galatasaray,0,2,A,0.0,0.0,D,12.0,11.0,4.0,7.0,15.0,21.0,3.0,7.0,1.0,3.0,0.0,0.0
T1,2023-10-08,14:00,Besiktas,Istanbulspor,2,0,H,1.0,0.0,H,17.0,4.0,5.0,2.0,12.0,10.0,4.0,4.0,2.0,2.0,0.0,0.0
T1,2023-10-08,17:00,Hatayspor,Konyaspor,3,1,H,1.0,1.0,D,10.0,8.0,5.0,5.0,19.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0
T1,2023-10-08,17:00,Kasimpasa,Fenerbahce,0,2,A,0.0,2.0,A,6.0,20.0,1.0,7.0,13.0,12.0,1.0,8.0,5.0,0.0,0.0,0.0
T1,2023-10-08,11:30,Rizespor,Samsunspor,1,0,H,0.0,0.0,D,8.0,12.0,4.0,3.0,9.0,15.0,4.0,8.0,3.0,3.0,1.0,0.0
T1,2023-10-21,11:30,Kayserispor,Rizespor,3,1,H,1.0,0.0,H,20.0,12.0,7.0,3.0,13.0,12.0,5.0,2.0,5.0,2.0,0.0,0.0
T1,2023-10-21,14:00,Gaziantep,Antalyaspor,1,0,H,0.0,0.0,D,10.0,8.0,2.0,2.0,16.0,14.0,6.0,4.0,1.0,2.0,0.0,0.0
T1,2023-10-21,14:00,Konyaspor,Pendikspor,1,2,A,0.0,0.0,D,16.0,8.0,8.0,3.0,4.0,12.0,5.0,2.0,1.0,3.0,0.0,0.0
T1,2023-10-21,17:00,Galatasaray,Besiktas,2,1,H,1.0,0.0,H,25.0,2.0,10.0,2.0,12.0,19.0,6.0,2.0,3.0,5.0,0.0,1.0
T1,2023-10-22,17:00,Samsunspor,Buyuksehyr,0,0,D,0.0,0.0,D,20.0,7.0,5.0,0.0,17.0,8.0,8.0,0.0,2.0,2.0,0.0,0.0
T1,2023-10-22,14:00,Istanbulspor,Ankaragucu,2,1,H,1.0,1.0,D,7.0,9.0,3.0,1.0,14.0,14.0,2.0,5.0,0.0,3.0,0.0,0.0
T1,2023-10-22,17:00,Fenerbahce,Hatayspor,4,2,H,3.0,0.0,H,17.0,8.0,6.0,5.0,10.0,14.0,7.0,5.0,1.0,4.0,0.0,0.0
T1,2023-10-22,11:30,Sivasspor,Kasimpasa,0,1,A,0.0,0.0,D,17.0,17.0,8.0,6.0,10.0,9.0,7.0,8.0,0.0,2.0,0.0,0.0
T1,2023-10-23,18:00,Trabzonspor,Alanyaspor,1,0,H,0.0,0.0,D,14.0,15.0,3.0,3.0,15.0,4.0,7.0,5.0,1.0,2.0,0.0,0.0
T1,2023-10-23,18:00,Karagumruk,Ad. Demirspor,2,0,H,0.0,0.0,D,10.0,11.0,6.0,5.0,18.0,8.0,5.0,4.0,0.0,1.0,0.0,0.0
